x,y,z,text
1601991739555,4.31,1,None
1601991739855,24.16,1,None
1601991739875,25.31,1,None
1601991739895,26.2,1,None
1601991739915,27.08,1,None
1601991739935,27.7,1,None
1601991739955,28.4,1,None
1601991739975,28.95,1,None
1601991739995,29.37,1,None
1601991740015,29.73,1,None
1601991740035,30.07,1,None
1601991740055,30.23,1,None
1601991740075,30.26,1,None
1601991740095,30.26,1,None
1601991740114,30.08,1,None
1601991740135,29.8,1,None
1601991740155,29.33,1,None
1601991740175,28.71,1,None
1601991740195,27.89,1,None
1601991740214,26.86,1,None
1601991740235,25.76,1,None
1601991740255,24.32,1,None
1601991740275,22.72,1,None
1601991740295,21.28,1,None
1601991740315,19.57,1,None
1601991740335,17.91,1,None
1601991740355,16.1,1,None
1601991740375,14.52,1,None
1601991740395,13.17,1,None
1601991740415,11.78,1,None
1601991740435,10.57,1,None
1601991740455,9.41,1,None
1601991740475,8.29,1,None
1601991740495,7.47,1,None
1601991740515,6.8,1,None
1601991740535,6.22,1,None
1601991740555,5.7,1,None
1601991740575,5.19,1,None
1601991740595,4.8,1,None
1601991740615,4.4,1,None
1601991740637,4.11,1,None
1601991740657,3.72,1,None
1601991740677,3.48,1,None
1601991740697,3.24,1,None
1601991740717,3.03,1,None
1601991740737,2.85,1,None
1601991740757,2.71,1,None
1601991740777,2.56,1,None
1601991740797,2.41,1,None
1601991740817,2.3,1,None
1601991740837,2.19,1,None
1601991740857,2.07,1,None
1601991740877,2.02,1,None
1601991740897,1.93,1,None
1601991740917,1.87,1,None
1601991740937,1.82,1,None
1601991740957,1.76,1,None
1601991740977,1.73,1,None
1601991740997,1.67,1,None
1601991741017,1.61,1,None
1601991741037,1.58,1,None
1601991741057,1.58,1,None
1601991741077,1.64,1,None
1601991741097,1.73,1,None
1601991741117,1.91,1,None
1601991741137,2.17,1,None
1601991741157,2.53,1,None
1601991741177,2.97,1,None
1601991741197,3.5,1,None
1601991741217,4.16,1,None
1601991741237,4.9,1,None
1601991741257,5.72,1,None
1601991741277,6.68,1,None
1601991741298,7.71,1,None
1601991741317,9.19,1,None
1601991741337,10.72,1,None
1601991741357,12.34,1,None
1601991741378,13.98,1,None
1601991741397,15.37,1,None
1601991741419,17.52,1,None
1601991741438,19.27,1,None
1601991741458,20.87,1,None
1601991741478,22.3,1,None
1601991741497,23.53,1,None
1601991741517,24.85,1,None
1601991741537,25.75,1,None
1601991741557,26.8,1,None
1601991741578,27.64,1,None
1601991741597,28.35,1,None
1601991741618,28.92,1,None
1601991741637,29.47,1,None
1601991741657,29.89,1,None
1601991741677,30.24,1,None
1601991741699,30.31,1,None
1601991741719,30.17,1,None
1601991741739,29.75,1,None
1601991741759,28.99,1,None
1601991741779,27.88,1,None
1601991741799,26.48,1,None
1601991741819,24.68,1,None
1601991741840,22.89,1,None
1601991741859,21.1,1,None
1601991741869,19.27,1,None
1601991741890,17.4,1,None
1601991741909,15.5,1,None
1601991741929,14.13,1,None
1601991741949,12.7,1,None
1601991741969,11.4,1,None
1601991741989,10.2,1,None
1601991742009,9.04,1,None
1601991742029,7.97,1,None
1601991742049,7.15,1,None
1601991742069,6.51,1,None
1601991742089,5.94,1,None
1601991742109,5.4,1,None
1601991742129,4.95,1,None
1601991742149,4.53,1,None
1601991742169,4.15,1,None
1601991742189,3.8,1,None
1601991742209,3.53,1,None
1601991742229,3.27,1,None
1601991742249,3.03,1,None
1601991742269,2.83,1,None
1601991742289,2.65,1,None
1601991742309,2.5,1,None
1601991742329,2.38,1,None
1601991742349,2.23,1,None
1601991742369,2.15,1,None
1601991742389,2.06,1,None
1601991742409,1.97,1,None
